date,volumeUSDChange,volumeToken0Change,volumeToken1Change,tvlUSDChange,txCount,feesUSD
1708041600,-113406173.19859749,-113439668.145861,-40444.28885546875,-1340651.283544898,6112,71218.0962201671382507387964254989
1708128000,-20214564.332589388,-20226913.418525994,-6543.765971785506,2032085.4443827271,5318,61110.8140538724482549594402219229
1708214400,10042064.421104938,10070144.181065008,2807.137886915574,3506130.629306376,5947,66131.84626442491862180185052803065
1708300800,104254439.42106938,104221229.98327099,34278.399880154895,1366455.113514185,6827,118259.0659749596185616009367496258
1708387200,31630594.411663324,31648839.329347998,9927.220990916554,5582752.008869708,7136,134074.3631807912777611353474362748
1708473600,-1869525.1096053421,-1960606.781197995,-158.6761572411924,3882506.788089156,6223,133139.6006259886050243495356217022
1708560000,16007113.233941436,15994391.652176023,3917.1825730486016,-981121.7265731692,5245,141143.1572429593201677211224323746
1708646400,-98633112.68214414,-98513611.33939901,-32485.96828771697,-4670091.675030112,5083,91826.60090188724822046302789804443
1708732800,-63247282.10279362,-63220578.281140015,-21690.273009654746,9473095.132866442,4595,60202.95985049044066636694256052472
1708819200,27497185.288324133,27482333.476981,7798.637119736704,4677122.573962092,5357,73951.55249465251692416958195446775
1708905600,88658396.78175908,88628484.287173,27121.25752186514,-1068939.6400898695,5518,118280.7508855320481833671871869368
1708992000,192746323.78466886,192710217.662452,56827.65239506705,11759804.364833057,6373,214653.9127778664787483264221638052
1709078400,308936325.2212759,309311369.50922894,90055.80179595057,-7933803.837398291,7359,369122.0753885044249852659966791929
1709164800,-299076297.0568155,-299467970.0687069,-94171.15907710517,-9411921.438634098,6993,219583.9268600966905586181524422876
1709251200,-155754877.3044899,-155728352.870665,-45182.39484784358,16781402.683340847,6434,141706.4882078517235478158839659983
1709337600,-54774732.621393114,-54725892.205484,-16421.057760105963,14601535.727314413,5383,114319.121897155178966306197425733
1709424000,43274498.01111528,43292829.83830598,12502.446574659858,5831770.681231737,5268,135956.3709027128336582052383840529
1709510400,46720223.04439241,46687444.08205104,11185.01215805982,-13383041.276701152,5614,159316.4824249090284344103488677357
1709596800,320444831.75035316,320349180.19559294,89850.78421915659,-14820940.208558083,7342,319538.8983000855991998639890006809
1709683200,16530352.786174655,16681703.76119101,-6759.736485571484,18774181.13754368,7361,327804.0746931729190783678790833575
1709769600,-295001688.7353221,-295011335.45274097,-79500.0429348696,-695223.8477389216,5517,180303.2303255118846786702202369605
1709856000,-38477159.109923124,-38560764.09818798,-11887.51907795397,-1259951.5486459732,5720,161064.6507705502973499571956283308
1709942400,-177218006.12336904,-177185800.88906702,-45134.15264674128,2931822.014889717,5335,72455.6477088657854619382846421795
1710028800,161291695.0548864,161240225.740707,41434.8569151292,1389569.9419760108,5560,153101.4952363089959520958740273978
1710115200,136859407.55797303,136900535.15375,33224.425630774305,15735953.62589264,6161,221531.199015295518276802973240265
1710201600,79282177.3885116,79157249.09389997,19787.51054628886,-9014011.885451198,6181,261172.2877095513029220691698317883
1710288000,-160336022.6274364,-160212828.68398696,-41151.043809196155,-957148.231036365,6041,181004.2763958331132711409605480844
1710374400,138660789.21141648,138537566.22837698,39070.91480108381,-5055909.224191725,7265,250334.6710015413531073927644005899
1710460800,453593044.8895903,453297671.89221597,129246.18127056268,-10883083.72338587,9436,477131.1934463364951540178543526876
1710547200,-523095728.04112744,-523038734.45359296,-140103.60967721362,-10860586.304629683,7765,215583.3294257727793000507643567696
1710633600,-107239751.46292895,-106826706.01467603,-27456.999822031765,3819381.3004080653,7367,161963.4536943083026307519259107312
1710720000,110711817.68806583,110665026.550322,31850.41765328568,1363040.5926799774,7630,217319.3625383412316253119939825064
1710806400,250972297.93843162,250883666.98061997,84687.20705166213,-25752328.337660193,10468,342805.511507557043209351201106237
1710892800,137332126.8880967,137495793.36509,43204.68605030546,35106182.83769143,10247,411471.5749516054044539877690091262
1710979200,-309256506.40014255,-309228246.2620689,-104290.76360658032,-509369.02486121655,7295,256843.3217515341035796759604018426
